,7m,8m,9m,10m,11m,12m,now,stock
,86.00,69.00,66.00,9.00,39.00,42.00,486.00,
,0.00,0.00,0.00,0.00,0.00,2.00,2.00,
,0.00,0.00,0.00,0.00,1.00,0.00,24.00,
,60.00,0.00,63.00,63.00,42.00,21.00,131.00,
,83.00,60.50,52.00,69.00,28.00,110.00,280.00,
,51.00,63.00,127.00,217.00,120.00,172.00,"1,061.00",
,104.00,118.00,130.00,132.00,150.00,90.00,112.00,
,314.00,264.00,264.00,128.00,116.00,88.00,185.00,
,0.00,0.00,0.00,0.00,0.00,0.00,12.00,
,30.00,0.00,60.00,0.00,120.00,0.00,126.00,
,0.00,0.00,0.00,0.00,0.00,30.00,54.00,
,60.00,116.00,0.00,116.00,0.00,116.00,152.00,
,0.00,0.00,558.00,0.00,0.00,0.00,0.00,
,30.00,0.00,0.00,0.00,28.00,0.00,102.00,
,178.00,90.00,388.00,270.00,236.00,58.00,322.00,
,27.00,80.00,40.00,84.00,40.00,48.00,97.00,
,0.00,0.00,0.00,0.00,24.00,24.00,252.00,
,0.00,0.00,0.00,0.00,0.00,60.00,-60.00,
,110.00,30.00,185.00,117.00,374.00,304.00,202.00,
,0.00,0.00,28.00,28.00,0.00,7.00,103.00,
,77.00,60.00,60.00,180.00,0.00,90.00,67.00,
,28.00,0.00,15.00,21.00,44.00,0.00,105.00,
,0.00,0.00,0.00,44.00,30.00,30.00,76.00,
,0.00,30.00,0.00,30.00,14.00,21.00,197.00,
,192.00,125.00,220.00,257.00,175.00,234.00,143.00,
,0.00,90.00,0.00,60.00,90.00,60.00,120.00,
,0.00,0.00,0.00,0.00,90.00,0.00,150.00,
,0.00,0.00,14.00,0.00,0.00,0.00,76.00,
,0.00,0.00,28.00,0.00,0.00,0.00,62.00,
,0.00,0.00,0.00,0.00,0.00,0.00,53.00,
,60.00,102.00,84.00,34.00,300.00,0.00,303.00,
,"2,378.00","2,052.00","2,256.00","1,702.00","1,898.00","2,304.00",641.00,
,543.00,701.00,"1,759.00","1,197.00",621.00,264.00,"1,485.00",
